"ID","Incident Date","City","State","School name","Latitude","Longitude","School Type","Intent","Outcome","Number Killed","Number Wounded","Narrative","Source 1","URL 1","Source 2","URL 2","Source 3","URL 3","Created","Last Modified"
"332","2018-02-08","Bronx","NY","The Metropolitan High School","40.827719","-73.896999","","Unknown","No one shot","0","0","A 17 year-old male student fired a gun, hitting the floor of a classroom. No injuries were reported, and police took the student in custody for questioning.","ABC 7","http://7ny.tv/2nZBDET","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"333","2018-02-14","Parkland","FL","Marjory Stoneman Douglas High School","26.3044","-80.2687","","Mass Shooting (4+ Shot)","Death","17","17","Armed with an AR-15 assault rifle, a man, 19, returned to the school that had expelled him the year before for disciplinary reasons. He opened fire, killing at least 17 children and adults. At least an additional 17 were also injured during the attack. The shooter blended himself into the student crowd to escape; he was taken into custody an hour later. Authorities charged him with 17 counts of first-degree murder and 17 counts of attempted first-degree murder.","The New York Times","http://nyti.ms/2CohqxA","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"334","2018-02-15","Coconut Creek","FL","North Broward Preparatory School","26.325609","-80.182564","","Unintentional Discharge","Injury","0","1","A sound thought to be a gunshot put North Broward Preparatory School on lockdown. During the investigation of what turned out to be a false alarm, a Broward Sheriff’s Office deputy unintentionally discharged his firearm, injuring his leg. The deputy was treated at the scene.","CBS Miami","http://cbsloc.al/2HiaPIF","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"335","2018-02-20","Massillon","OH","Jackson Memorial Middle School","40.867003","-81.486571","","Other","Death","1","0","A boy, 13, wrote an eight-step plan for a school shooting that indicated he had an admiration for the Columbine shooters. He concealed a semiautomatic rifle beneath his clothes and caught the bus to school. He entered a bathroom, removed the rifle, and stepped out into a hallway brandishing it. He then re-entered the bathroom, where a student saw the firearm and left to notify staff. The boy shot himself fatally with the rifle. No other people were injured. Police found ""distractionary devices"" in his backpack and about 80 rounds of ammunition. ","News 5 Cleveland","http://bit.ly/2CR4ZdX","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"336","2018-02-23","Hammond","LA","Southeastern Louisiana University","30.514652","-90.468676","","Attack on others","Injury","0","2","A fight broke out in the early hours of the morning near a university assembly hall where sporting events are routinely held. Shots were fired, and two student athletes sustained non-life threatening injuries. Authorities later arrested two other people, neither of them students, and announced they would both be charged with attempted murder. ","The Times-Picayune","http://bit.ly/2CKhPKG","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"337","2018-02-24","Savannah","GA","Savannah State University","32.024781","-81.063377","","Attack on others","Death","1","0","Gunshots were fired near University Commons, and a 20-year-old former student was hit multiple times. The campus was placed on lockdown for approximately two hours while police investigated the incident. They arrested a suspect and charged him with carrying a weapon in school safety zones, and possession of a firearm during commission or attempt to commit certain felonies. The victim was taken to a hospital but later died as a result of his injuries. ","WSAV","https://bit.ly/2HiwzH3","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"338","2018-02-26","Tacoma","WA","Oakland High School","47.2299","-122.4857","","Unknown","No one shot","0","0","At least two male students were in a school bathroom when a gun fired, sending a single bullet through the floor into a room below. A 14-year-old girl, who was in the room the bullet entered, collected the round and handed it to a teacher as the school was evacuated. Two students were subsequently arrested, one of them a 19 year-old who was booked for unlawfully possessing a firearm, reckless endangerment, and possessing a weapon on school property.","The News Tribune","http://bit.ly/2F6UhFj","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"339","2018-02-27","Itta Bena","MS","Mississippi Valley State University","33.514142","-90.341274","","Attack on others","Injury","0","1","An unidentified person was shot and sustained non-life threatening injuries in the Charles Lackey Recreation Center, reportedly after a disagreement between a small group escalated into violence. Police are investigating the incident and seeking a suspect.","WJTV 12","http://bit.ly/2GMEHf9","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"340","2018-02-27","Norfolk","VA","Norfolk State University","36.848429","-76.261375","","Unknown","Injury","0","1","A student was studying in his dorm room at 1 am when he heard a loud noise in the room next door and realized he'd been shot. Police responded to the scene but failed to find a suspect. The injured student was taken to a local hospital with non-life threatening injuries.","News 3","http://bit.ly/2tfMIrd","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"341","2018-02-28","Dalton","GA","Dalton High School","34.7795","-84.9861","","Other","No one shot","0","0","A social studies teacher barricaded himself inside a classroom and fired a gun through an exterior window. The school went into immediate lockdown, though nobody was shot. After a 30-45 minute standoff, authorities arrested the teacher, who then refused to explain his actions. He was charged with six offenses, including, among others, aggravated assault, carrying a weapon on school grounds, and terroristic threats.","AP","http://bit.ly/2Fgfahh","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
